"business_id","topic_1_Facilities","topic_2_Courses","topic_3_Service_and_Accessories","topic_4_Membership_and_Price","topic_5_Trainer","topic_6_Time","topic_7_Environment","topic_8_Other","weighted_stars","summary_0","summary_1","summary_2","summary_3","summary_4","summary_5","summary_6","summary_7","summary_8","summary_9","summary_10","summary_11","summary_12","summary_13","summary_14","summary_15","summary_16","summary_17","summary_18","summary_19","summary_20","summary_21","summary_22","summary_23","summary_24","summary_25","summary_26","summary_27","summary_28","summary_29","summary_30","summary_31","review_number_id"
61276,0,0,0.16,0,-1,0,0,0,3.63333333333333,9,0,0,9,6,0,0,6,5,1,1,3,5,0,0,5,1,0,1,0,1,0,0,1,0,0,0,0,16,0,0,16,5
184164,-0.3,0.00476190476190476,0,0,0.0333333333333333,-0.025,-0.3,0,5,1,0,1,0,21,1,5,15,1,0,0,1,5,0,0,5,3,1,0,2,4,0,1,3,2,0,1,1,30,0,0,30,4
159590,-0.0157894736842105,-0.0181818181818182,0.2,0,-0.075,0.025,0,0,3.05940594059406,19,0,2,17,11,1,3,7,5,1,0,4,9,2,1,6,4,0,1,3,4,1,0,3,1,0,0,1,40,0,0,40,13
94063,-0.075,0.0333333333333333,0,-0.00588235294117647,0,-0.02,0.1,0,2.2280701754386,4,0,1,3,3,1,0,2,1,0,0,1,17,1,1,15,0,0,0,0,5,1,1,3,1,1,0,0,28,0,0,28,6
118644,0.075,0.0619047619047619,-0.05,-0.025,0.1125,0.1,1,0,5,8,1,3,4,21,2,5,14,4,0,2,2,16,1,5,10,8,1,1,6,8,2,2,4,1,1,0,0,76,0,0,76,19
36728,0,-0.3,0,-0.0333333333333333,-0.1,0,0,0,4.2258064516129,4,0,0,4,1,0,1,0,2,0,0,2,3,0,1,2,2,0,2,0,1,0,0,1,0,0,0,0,19,0,0,19,4
94078,0,-0.1,0,0,0,0,0,0,5,2,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,8,3
53122,-0.045,0.00909090909090909,-0.0333333333333333,-0.00975609756097561,-0.05,-0.0578947368421053,-0.0333333333333333,0,2.28846153846154,20,2,4,14,11,1,0,10,27,2,9,16,41,3,5,33,2,0,1,1,19,0,6,13,3,0,1,2,111,0,0,111,30
61320,0,0,0.1,0.05,0,0,0,0,4.11111111111111,1,0,0,1,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,9,3
77707,0.00652173913043478,-0.0119047619047619,-0.0603448275862069,-0.0285714285714286,0.181818181818182,-0.0159090909090909,-0.1,0,2.3,92,7,17,68,42,2,14,26,58,6,23,29,56,1,11,44,11,2,0,9,44,5,13,26,9,0,2,7,262,0,0,262,67
176012,-0.03125,-0.0102272727272727,-0.0125,0.062962962962963,0.1,-0.0354838709677419,0.0166666666666667,0,4.66212534059945,16,1,4,11,88,2,18,68,16,2,6,8,27,3,2,22,30,3,2,25,31,1,9,21,6,1,0,5,161,0,0,161,44
61333,-0.05,0,-0.1,-0.025,0,-0.0666666666666667,0,0,2.30769230769231,2,0,1,1,3,0,0,3,2,0,1,1,4,0,1,3,0,0,0,0,3,0,1,2,1,0,0,1,13,0,0,13,3
44952,-0.025,0.09,0,0,0,-0.02,0,0,5,4,0,1,3,10,3,3,4,1,0,0,1,1,0,0,1,4,0,0,4,5,0,1,4,0,0,0,0,12,0,0,12,5
167838,-0.0837837837837837,0.0269230769230769,-0.0223214285714286,0.00408163265306122,-0.05,-0.0131578947368421,-0.0166666666666667,0,2.96315789473684,111,4,35,72,78,9,10,59,112,7,30,75,49,3,5,41,12,0,3,9,38,2,12,24,6,0,1,5,242,0,0,242,65
